
Time = 10.00

1.00000000	2.00000000	300.00000000	300.00000000	0.000000000000000000
1.25000000	2.00000000	325.00000000	325.00000000	0.000000000000056843
1.52500000	2.00000000	352.50000000	352.50000000	0.000000000000000000
1.82750000	2.00000000	382.75000000	382.75000000	0.000000000000000000
2.16025000	2.00000000	416.02500000	416.02500000	0.000000000000000000
2.52627500	2.00000000	452.62750000	452.62750000	0.000000000000000000
2.92890250	2.00000000	492.89025000	492.89025000	0.000000000000000000
3.37179275	2.00000000	537.17927500	537.17927500	0.000000000000000000
3.85897203	2.00000000	585.89720250	585.89720250	0.000000000000000000
4.39486923	2.00000000	639.48692275	639.48692275	0.000000000000000000
4.98435615	2.00000000	698.43561503	698.43561503	0.000000000000000000
5.63279177	2.00000000	763.27917653	763.27917653	0.000000000000000000
6.34607094	2.00000000	834.60709418	834.60709418	0.000000000000000000
7.13067804	2.00000000	913.06780360	913.06780360	0.000000000000000000
7.99374584	2.00000000	999.37458396	999.37458396	0.000000000000113687
8.94312042	2.00000000	1094.31204235	1094.31204235	0.000000000000000000
9.98743247	2.00000000	1198.74324659	1198.74324659	0.000000000000000000
11.13617571	2.00000000	1313.61757125	1313.61757125	0.000000000000000000
12.39979328	2.00000000	1439.97932837	1439.97932837	0.000000000000227374
15.00000000	2.00000000	1700.00000000	1700.00000000	0.000000000000000000
1.00000000	2.25000000	325.00000000	325.00000000	0.000000000000056843
1.25000000	2.25000000	350.46585694	350.00000000	0.465856941795721013
1.52500000	2.25000000	378.45247416	377.50000000	0.952474164242460120
1.82750000	2.25000000	409.23625757	407.75000000	1.486257569446365778
2.16025000	2.25000000	443.12174597	441.02500000	2.096745966625803703
2.52627500	2.25000000	480.45542823	477.62750000	2.827928233544469094
2.92890250	2.25000000	521.64166660	517.89025000	3.751416598312403039
3.37179275	2.25000000	567.17152304	562.17927500	4.992248035175748555
3.85897203	2.25000000	617.68756490	610.89720250	6.790362397158219210
4.39486923	2.25000000	674.15885558	664.48692275	9.671932825825479085
4.98435615	2.25000000	739.02583216	723.43561503	15.590217137449258189
5.63279177	2.25000000	814.50759044	788.27917653	26.228413908189622816
6.34607094	2.25000000	871.97765951	859.60709418	12.370565326391897543
7.13067804	2.25000000	947.13376855	938.06780360	9.065964955625759103
7.99374584	2.25000000	1032.20913364	1024.37458396	7.834549678817666063
8.94312042	2.25000000	1128.05618934	1119.31204235	8.744146987101885315
9.98743247	2.25000000	1238.16372981	1223.74324659	14.420483224086410701
11.13617571	2.25000000	1361.31688669	1338.61757125	22.699315443876002973
12.39979328	2.25000000	1472.61849120	1464.97932837	7.639162825108542165
15.00000000	2.25000000	1725.00000000	1725.00000000	0.000000000000000000
1.00000000	2.52500000	352.50000000	352.50000000	0.000000000000000000
1.25000000	2.52500000	378.43968054	377.50000000	0.939680540312679113
1.52500000	2.52500000	406.94266071	405.00000000	1.942660710458710582
1.82750000	2.52500000	438.29802277	435.25000000	3.048022770633963319
2.16025000	2.52500000	472.83903430	468.52500000	4.314034299604827538
2.52627500	2.52500000	510.95800667	505.12750000	5.830506670432953342
2.92890250	2.52500000	553.13450379	545.39025000	7.744253793028860855
3.37179275	2.52500000	599.98942071	589.67927500	10.310145714707118714
3.85897203	2.52500000	652.40806874	638.39720250	14.010866238996413813
4.39486923	2.52500000	711.87881740	691.98692275	19.891894649492542158
4.98435615	2.52500000	782.17630364	750.93561503	31.240688613471093049
5.63279177	2.52500000	862.55753092	815.77917653	46.778354395873407157
6.34607094	2.52500000	913.25911320	887.10709418	26.152019021904834517
7.13067804	2.52500000	984.15031018	965.56780360	18.582506579851269635
7.99374584	2.52500000	1068.06940381	1051.87458396	16.194819856585581874
8.94312042	2.52500000	1164.95177260	1146.81204235	18.139730250186630656
9.98743247	2.52500000	1280.20163980	1251.24324659	28.958393207670042102
11.13617571	2.52500000	1408.43933692	1366.11757125	42.321765670905051593
12.39979328	2.52500000	1508.62409410	1492.47932837	16.144765729133496279
15.00000000	2.52500000	1752.50000000	1752.50000000	0.000000000000000000
1.00000000	2.82750000	382.75000000	382.75000000	0.000000000000000000
1.25000000	2.82750000	409.17713264	407.75000000	1.427132636175315383
1.52500000	2.82750000	438.21627024	435.25000000	2.966270243635449333
1.82750000	2.82750000	470.17138585	465.50000000	4.671385850862634470
2.16025000	2.82750000	505.40264804	498.77500000	6.627648037860524255
2.52627500	2.82750000	544.34782904	535.37750000	8.970329041290710848
2.92890250	2.82750000	587.56118754	575.64025000	11.920937541560306272
3.37179275	2.82750000	635.78970029	619.92927500	15.860425285933047235
3.85897203	2.82750000	690.13868857	668.64720250	21.491486071371809885
4.39486923	2.82750000	752.52630764	722.23692275	30.289384889341818052
4.98435615	2.82750000	827.04260681	781.18561503	45.856991781394867758
5.63279177	2.82750000	909.98342714	846.02917653	63.954250611690667938
6.34607094	2.82750000	957.16984691	917.35709418	39.812752732096669206
7.13067804	2.82750000	1024.37587482	995.81780360	28.558071225805406357
7.99374584	2.82750000	1107.06664061	1082.12458396	24.942056650770382475
8.94312042	2.82750000	1205.04890912	1177.06204235	27.986866764772457827
9.98743247	2.82750000	1324.61055576	1281.49324659	43.117309174765978241
11.13617571	2.82750000	1455.77840693	1396.36757125	59.410835680608670373
12.39979328	2.82750000	1547.78191222	1522.72932837	25.052583845936169382
15.00000000	2.82750000	1782.75000000	1782.75000000	0.000000000000000000
1.00000000	3.16025000	416.02500000	416.02500000	0.000000000000000000
1.25000000	3.16025000	442.94945981	441.02500000	1.924459808347819489
1.52500000	3.16025000	472.53708580	468.52500000	4.012085798098723899
